ID,UF_NAME,UF_XML_ID,DEL
190,KadrOn,64e94201-e75a-11ee-91c3-00155d640301,Y
191,"Unifon Smart U",bc6f0695-e75f-11ee-91c3-00155d640301,Y
192,"Tiandy кронштейны",6340c614-e760-11ee-91c3-00155d640301,N
193,SKUDO,d9582371-0207-11ef-91c6-00155d640301,Y
194,"Dahua Сигнализация",6ebfa187-8640-11ef-91d3-00155d640301,Y
195,"IFLOW (Проектное оборудование)",3ca84ebe-de33-11ef-91de-00155d8d6700,Y
196,"Телеком-Мастер (Шкафы монтажные, Аксессуары)",1229751d-dee5-11ef-91de-00155d8d6700,Y
197,"Телеком-Мастер (Коммутаторы, Телеком. шкафы)",e2792e53-deef-11ef-91de-00155d8d6700,Y
198,"CTV Аксессуары",db46e5d3-eea5-11ef-91de-00155d8d6700,Y
199,"Tiandy Project IP камеры видеонаблюдения",64f619c1-ffd2-11ef-91de-00155d8d6700,Y
200,"Tiandy Project IP Видеорегистраторы",9cf97ad2-ffdd-11ef-91de-00155d8d6700,Y
201,"CARDDEX ЗИП",45f32c73-347c-11f0-91de-00155d8d6700,Y
202,"CARDDEX Контроллеры",dfb60481-3481-11f0-91de-00155d8d6700,Y
